,fold_0_train,fold_0_val,fold_0_test,fold_1_train,fold_1_val,fold_1_test,fold_2_train,fold_2_val,fold_2_test,fold_3_train,fold_3_val,fold_3_test,fold_4_train,fold_4_val,fold_4_test
1369,1.4.18.038291.91.4.7.8.377356375022549.8159868427269.5,6.1.701.985838.7.501.5.1380197944.9417049442.444734,8.6.10.819400.13.6.1.0.79186372870.5385632671231.7,5.1.21.550257.95.1.5.3.780716885743684.6388921970975.3,2.5.151.702852.1.913.6.4194164915.3883444696.947803,2.7.479.555209.1.971.2.8660340390.6977527153.167355,0.1.11.214313.94.7.1.9.665247990236612.4087359417865.3,9.9.42.867855.32.0.2.9.567632129725381.5694649048801.8,7.5.17.166284.09.1.8.5.40129578300.1461907076735.5,2.5.178.023445.5.184.3.2835383541.8294433651.127590,6.3.57.513402.77.5.4.5.52141616539.6545535309646.1,2.7.709.184130.8.343.0.0154938358.1338908588.244070,6.1.027.723295.5.890.6.5209853318.7164757515.402661,9.7.388.605534.3.701.0.3301923889.6526760626.734290,4.7.48.157565.19.9.6.3.26487880754.6915201376204.1
1370,7.7.21.562973.41.6.8.2.608054653277450.9138279982015.1,8.6.263.722295.2.885.1.4431924565.9627892765.029332,2.0.09.931795.81.7.9.1.78576921744.0685458451248.3,0.4.04.408174.05.8.3.4.94644653383.0064918009989.7,6.7.81.801324.35.7.8.3.57899314996.8828795951887.4,1.5.38.896514.89.0.1.2.63164113731.8966900677178.5,8.8.90.994724.71.7.5.8.01815499499.9795231529212.9,1.0.35.642771.51.1.5.5.619169341770160.0034810243394.6,8.9.90.521774.24.1.8.7.652535842626416.6267985165319.2,7.7.973.236948.2.534.5.2888163425.4992969449.049071,5.9.80.791896.91.6.9.0.67389400580.9603210869755.1,2.9.999.402258.4.504.8.2996083187.1634659135.65256,9.4.23.434656.59.7.8.0.24623449541.8469555655192.3,4.2.28.813256.64.5.0.6.31397108138.2076309054043.0,0.9.713.887136.0.838.9.0136346837.4168676598.230134
1371,2.7.32.466755.21.4.0.1.15534820834665.9589780180491.0,4.2.29.270302.97.1.4.1.53073584873.5667517739659.7,0.7.45.725532.62.2.0.4.14100478678.5482874851699.9,1.6.89.600006.78.2.2.8.41944702460.0203078790101.9,3.5.28.807206.49.3.1.1.923539206029096.2486315448462.4,2.4.47.975341.66.3.1.6.78997207252.7958955006601.3,7.1.95.461124.61.3.3.4.93462215206.8419408510080.5,5.1.72.420599.97.0.2.5.53574985513.3821709313688.9,0.6.71.021269.45.9.8.5.206068563319269.9771212339719.3,6.1.36.006443.04.4.2.3.57005089026.6017881867804.8,4.1.73.052798.71.9.0.9.89921303007.0657282266591.5,3.4.73.401502.32.5.7.1.21359058286.9173570690654.6,1.3.03.266728.57.6.9.1.62843410457.4071543325957.7,8.5.16.979690.71.3.4.6.077426697788288.5253290748880.8,5.6.80.213761.84.2.5.1.36648076284.5156150247873.5
1372,8.1.471.189119.2.440.9.9831099639.4050614091.495983,9.2.79.404257.60.1.1.7.97343071640.9786614710464.5,4.8.85.389966.25.2.2.6.69727362189.3044720003414.6,6.4.77.234045.12.9.3.6.32278842598.9307082820119.2,5.1.89.843053.14.4.2.1.16009113046.3070935351308.7,1.9.34.887537.38.5.4.0.03230743486.6761060691304.3,4.7.29.454431.16.9.2.1.772232724004831.1790269292173.3,6.0.00.626668.22.2.6.0.66952905325.0978981589211.2,0.4.62.434378.69.0.4.4.10594524201.3512171291854.4,7.1.20.576657.41.5.1.8.455283740654934.0967902274836.6,2.0.478.148433.3.068.6.7497338819.9940684860.14248,6.5.421.696994.9.002.2.7953968825.4809799661.469201,9.2.11.710111.52.5.2.4.78586380412.9708839318125.5,6.7.38.116462.50.1.5.9.987486054839803.5727182016338.3,1.1.505.405569.9.109.1.1663223465.5080651242.685262
1373,4.7.237.590275.7.519.7.1048859065.4092193611.034612,6.7.34.546791.79.2.5.0.14520370602.8568326103563.7,1.9.99.346166.82.3.4.5.65137843764.2542440547142.5,6.1.13.249460.75.6.1.6.396349877552532.9681645441334.6,9.6.49.911295.98.1.4.2.14588103214.0050607877850.0,9.9.66.648416.77.6.5.6.857755140365075.1927622524690.9,0.4.55.468329.35.0.3.8.30055518684646.4961845838393.4,7.5.07.037320.18.8.0.1.48216780887259.8124908513068.7,6.4.95.526529.03.9.4.2.78116125206.8774662146960.9,1.6.588.511571.0.462.2.6644823227.4490451872.185768,5.4.16.387707.16.5.7.5.55914402626.6641964316320.6,9.2.32.917458.37.2.1.8.553604466181387.0651298348594.6,4.3.466.317620.8.390.5.9210795110.2147283585.547592,6.2.26.079520.89.6.8.6.29021449722.0143287462502.4,0.0.14.413050.59.0.5.4.070059910387095.6148193549006.3
1374,8.2.35.236150.38.0.7.0.74191286619.8834786754901.9,6.1.39.697456.35.8.8.8.20371334121.5994556550297.8,6.8.87.069265.73.4.9.5.11693762228.3973197260132.9,0.0.96.605515.84.0.6.9.93737010875718.8687907811897.0,4.4.067.904054.0.206.5.7592439611.7309864816.608056,1.5.322.784506.7.029.6.3874502765.5181304612.904323,6.8.55.254118.36.1.0.4.436508455852213.4571070702973.9,4.3.874.692250.2.986.7.6794280957.2146115535.043435,0.3.836.018488.9.155.5.8408473972.9032704699.536935,8.1.09.708161.43.6.3.9.337747687883086.3203924060842.0,6.1.684.670085.8.619.6.2760467047.5888793101.953402,1.8.821.376798.0.327.2.2780365959.2284419711.357420.1,9.4.11.464786.42.6.2.8.843704910242034.4465975194489.8,0.3.56.720555.18.2.3.6.813919971509636.5608288376229.5,6.1.92.488751.19.6.8.5.06690731539521.8736110997993.9
1375,5.1.10.572067.78.6.9.6.14730458334.8135517488539.5,6.9.54.861668.63.5.4.9.48861073519179.3117833433475.8,1.3.09.197101.75.7.8.6.43635101137.8530276905983.3,6.9.45.139977.10.5.5.7.189331334586395.3534471803662.9,8.2.66.166814.77.5.9.3.706233150268080.7287323267533.3,9.5.49.529509.23.8.0.1.18541992834.7151844121016.9,6.0.766.698803.9.657.8.6580125009.8488446062.244283,9.0.61.238943.19.7.4.5.99240907363.1036721020037.1,0.4.32.770378.94.5.1.9.49540589752.3598826616900.6,1.0.423.617464.0.871.6.4872342606.1849992718.666270,0.2.03.596488.97.1.1.4.99306004809.6741306612477.1,7.6.721.182269.7.160.7.1409312377.9600719485.91023,2.3.10.688262.36.6.6.8.51109001463.0522242764409.0,7.8.810.407837.7.761.9.2553420311.7269154519.464039,2.4.864.799220.3.380.6.1311849594.9098362650.624702
1376,6.8.75.598933.62.4.6.8.169555105106655.8743117024840.2,9.2.04.996274.70.5.0.6.96442520531.5324524719869.8,3.2.855.908157.7.250.9.2988083204.7468673956.200510,4.0.109.400965.7.009.4.1174888048.7609180897.635246,0.6.253.588540.0.242.7.2542788167.1092843690.179167,7.0.976.703922.8.429.5.7769164419.6562137119.684024,6.6.17.822577.71.8.6.4.740207254127397.2555481397140.0,9.3.803.775653.1.487.5.9734836157.6419225438.831660,3.3.13.356880.60.7.5.9.228190162800299.7740437803685.3,5.6.58.082976.86.1.4.7.34968915591.8689091848172.9,3.9.75.844456.66.4.3.7.554669444435405.4645374558641.8,3.1.92.864604.63.9.1.3.71336751667.6246568010865.4,3.3.68.880344.69.6.8.8.96054090956.7127469989922.0,2.2.35.636878.70.0.9.5.11154677465.3024248727552.9,3.2.360.327290.2.301.2.2213449581.6663520781.115669
1377,2.0.455.693977.6.237.5.6414344330.6749934302.457892,3.1.55.482776.78.8.7.6.04397591678.6487827815145.7,7.0.37.742902.15.3.1.5.667902775127312.3727637776136.8,9.7.10.619604.47.0.8.9.99648373554.4141202521409.4,9.9.121.082301.2.275.2.7543058132.1163133884.16728,0.5.833.690930.0.767.2.4490543160.9055595333.848996,4.2.92.859008.69.8.9.6.19121028745.6818001224212.4,0.1.45.801837.27.4.0.8.91700733270.1633229613196.5,9.3.42.520673.27.8.7.2.45303825752.3330505853319.1,0.2.826.518694.1.475.9.4248850737.9335795735.434935,4.0.119.937287.0.271.4.5205845284.6169684001.413833,1.5.08.150292.24.1.3.8.72540896870.9073621644643.4,0.5.85.229603.71.9.8.4.242229392328266.7346879105225.6,8.8.42.843330.08.9.6.3.218732945458290.1149160179263.3,0.3.90.798625.82.8.4.8.81250381713.6376719503465.9
1378,7.3.69.018311.51.6.4.7.40789216173.2266978857664.2,4.6.507.332457.2.418.1.3146766506.2029083813.631985,4.0.969.449757.0.399.2.9384216599.9492485840.301990,3.9.87.633675.68.2.9.5.067069580533143.0711870471045.5,5.5.60.893258.29.0.7.9.26202847173.3543768332554.9,7.1.08.837581.83.1.3.0.22312886354.5404618315415.3,9.2.88.028459.99.6.1.3.303617289066071.1141037989992.5,9.6.74.576589.11.7.1.2.45716838035.8852410314425.7,2.9.829.350970.6.919.2.9373553733.0760939360.374200,9.6.56.544930.15.9.6.8.905302305901566.2225912383374.3,2.2.97.487704.00.6.7.8.47937578081.6381406332508.6,0.4.89.775067.67.2.0.9.59133228126.9195184835184.0,4.5.01.245080.40.4.3.8.250027717418976.2381658705656.1,6.7.15.168129.09.9.9.2.05854806935.3391595584226.6,4.6.67.245184.85.6.0.6.50819001488.9584569064807.0
1379,3.4.25.505462.85.1.3.3.65303420648.1546590219292.7,8.5.10.454097.61.3.6.6.05794089189.9005898577182.4,0.6.45.145055.24.6.0.5.199127304666733.5195005281829.9,1.5.32.486497.06.6.1.1.70416297126.6550970706797.5,3.2.618.398904.3.918.0.1461836645.3240693003.477154,1.0.33.425908.23.3.5.6.17259122306.3567444999151.5,8.7.390.188718.5.006.6.4905509788.3467853495.772938,6.9.565.098826.5.665.0.6718710892.5656381750.198327,3.5.55.773494.31.7.6.7.523517993702413.2599128550118.4,2.6.737.240783.7.217.5.2874864797.4735086529.214179,2.0.54.449020.05.0.0.2.724350115477307.3250150408273.6,8.6.82.811312.28.3.1.1.23117737518.9147525988180.0,7.7.11.427825.38.3.9.2.78260122923176.5044726628738.9,5.6.45.823308.39.2.3.9.60900462191080.4806052330440.4,9.4.70.915044.06.1.2.7.190880033472816.0272404435157.5
1380,7.3.17.572102.76.0.0.5.312032554232169.5211208474481.0,3.6.92.232606.37.5.0.1.20829405616.5546701981232.1,3.2.328.138637.3.285.6.4718704238.7487135563.362281,1.0.77.648992.51.7.8.4.63800777425.7780064190856.1,8.9.78.073543.57.9.7.1.81504006281.7171002005787.8,0.8.09.913856.14.9.9.1.41038442304.7348379349973.1,9.9.48.008579.50.7.9.0.97927109971.1841676065527.8,9.5.02.681463.27.9.7.6.77951224753.1630678072731.6,5.8.57.116261.63.7.8.7.87154210073.3951891456768.2,9.6.77.656683.61.1.4.7.29930283971.4959929023478.9,7.2.80.529888.19.2.0.4.05203621450.7065270520225.1,2.7.82.822790.27.3.9.1.14225440079.9906229369399.1,4.9.157.813306.5.660.0.3278034059.8233168176.004327,8.7.67.785293.54.5.9.2.589701864072378.9079086943879.0,1.8.12.516282.52.9.4.2.78606876981.7557047994690.0
1381,6.8.516.576020.8.015.8.7050000407.5998680695.412151,6.5.22.451609.09.1.9.5.22223797819.4283226194583.9,7.7.87.726538.06.9.7.5.986971643015560.0532627070274.3,5.4.273.145051.2.929.0.1813918642.3578791620.872317,1.8.60.966657.34.1.2.6.300674511915889.9933370607506.6,9.6.324.932528.8.126.7.4663010277.4709764370.481275,6.2.96.540828.14.0.4.8.78058108703.1163110472120.2,5.0.24.236587.38.2.5.6.51201672227.2592025061060.3,6.8.31.011170.57.2.7.1.18432831939.9804643692869.3,6.9.93.745401.22.6.5.4.010029796722819.1872551207673.8,1.3.958.327316.1.882.5.1834450146.0204440919.537335,1.6.71.877366.23.9.3.3.82045991845.3328582508151.8,1.8.447.716159.5.326.7.3097580295.9324561222.287030,6.8.99.164276.93.1.4.5.47975967691285.1579875847293.0,1.5.60.484261.61.4.9.4.754890957272863.4197048296349.8
1382,4.7.29.454431.16.9.2.1.772232724004831.1790269292173.3,8.3.22.991106.87.5.1.1.191829317012308.1462546949407.5,7.8.55.775365.04.4.3.5.266393475475116.5344121049648.9,7.2.59.570651.67.5.2.6.172894366474697.8331126658369.7,3.6.406.243911.6.305.2.8599558548.4547813721.237373,2.0.25.425963.27.3.2.6.15100061757.1628958674629.9,1.7.410.928959.2.632.3.5464440338.3910946022.346727,4.1.38.897968.28.1.6.7.38987245265.5908783675029.1,2.2.57.410376.78.6.0.7.24539738339.6209208621307.0,8.1.314.686867.2.678.8.5494662480.7905790136.175214,2.3.452.125083.3.431.8.1949739341.7809381515.8862,0.3.467.529291.1.517.6.4836760268.4070208133.578566,6.9.242.758977.7.580.7.6081245638.2329855019.640021,3.6.76.636987.74.5.7.4.869898774494582.5867686656743.1,6.4.87.466951.43.6.1.5.31139437298.3146292334095.8
1383,1.8.18.232093.51.6.2.4.15442616588.4551051893793.0,5.8.019.595323.3.101.5.0573795980.1924338478.090352,2.8.371.878047.2.853.7.0071604036.2837318022.343181,5.2.98.839432.09.0.6.2.401624160065731.9631215095990.6,0.6.66.914654.56.8.7.2.06200830584.7733801578243.1,7.7.03.587447.76.6.3.1.672502422105958.8169630149557.3,0.8.60.799275.68.3.7.9.750772313511648.9980603256253.2,5.6.03.202263.62.3.7.5.12226260497.7247025145371.8,9.8.03.545339.55.0.1.0.58649391192.5002717729750.7,9.2.560.061393.8.588.9.4759587310.4337764333.505120,0.3.83.235136.97.1.7.3.145146852094446.9151545349585.3,1.9.27.406403.96.0.9.1.16581990427.3587097935861.7,7.1.23.413613.67.6.4.0.67333221121067.4606429738335.5,9.9.479.694411.3.519.5.2028676017.7967997415.735240,9.2.899.363218.9.311.2.1162835205.6689624910.047636
1384,2.1.52.416626.18.3.7.8.05334850421.3722348282474.3,8.3.03.059849.12.2.5.9.257272084137904.1436002064975.3,5.4.794.810735.5.230.6.4031185886.7999795640.443331,1.3.36.669140.65.5.9.3.443314188627546.2273737895660.0,5.8.31.173612.00.9.6.5.30556692157.6129425783714.5,8.0.520.612108.9.240.0.1229911672.3127572999.951887,7.5.18.709469.09.9.2.9.99507669854.2219623539344.8,2.6.95.078943.82.2.2.3.40063340794.0841187099642.0,3.7.02.087635.12.5.5.8.24049609939.0287695946888.2,3.5.86.789611.85.7.3.6.02884223650.3722509103329.1,8.6.280.629902.0.660.7.5774441083.3146533798.256467,3.8.10.627162.82.4.0.9.180376116674517.5172969547868.1,1.4.14.656365.74.7.2.8.633745003635967.0405647846680.5,3.0.01.520058.31.3.0.6.82113010608.3598992045659.4,0.6.50.778626.78.0.5.3.269421148725429.0071227691266.3
1385,0.1.65.097717.90.0.8.6.12019278001597.2477372396117.3,6.3.959.212378.6.307.2.6117707167.9546407712.236746,2.7.987.859570.4.175.5.6822942674.6344894809.440262,6.7.15.154895.19.6.9.1.88078757199907.2222873013054.9,2.4.45.464520.46.0.1.7.404200833012427.6109443352958.2,6.2.11.919204.06.4.5.4.92058863051.0987738935636.0,8.8.12.650432.30.0.8.2.80138314584.1116315385883.5,8.3.016.994941.4.066.8.3603867643.1613193357.178136,2.9.044.629770.7.809.7.0798607285.7540574507.569198,9.7.58.092771.46.1.2.4.661319252350777.0368336822799.7,8.4.766.078136.2.737.8.8598518095.6055952765.222907,1.9.35.118704.10.7.3.8.90048000031.9124027570578.4,9.1.87.594051.46.8.4.1.680721137458227.4230394734883.3,0.1.80.195049.95.4.8.3.13389185712.1504198640621.4,8.8.30.504985.94.8.4.3.02741382377.6010106406147.0
1386,5.3.18.769117.07.6.7.8.11347754241.2835561442707.8,8.8.338.057618.5.727.1.9786355650.0535628535.296739,5.8.26.972836.47.2.0.0.97504866674.5962013987044.2,4.1.35.751903.63.3.1.6.23550074593.5173257785735.6,7.3.882.378500.3.820.3.6185032833.7541765344.962852,4.2.12.297129.29.4.1.5.12920298423.0056433679452.0,0.6.587.411915.1.696.8.7450468703.6213516287.795888,6.8.627.508518.6.159.9.5628553594.1188953168.220506,8.6.88.000142.97.1.6.0.60906207802.4470288538629.1,2.5.17.087826.77.561574424656.0012.5338422263337,3.0.00.611205.21.9.1.1.675906639289076.2596032751798.9,2.5.598.905747.8.431.4.1914187552.7048580564.667012,7.7.748.341491.7.251.1.1688356842.5811229822.309939,6.8.33.696559.23.3.7.5.871037068000585.0639968367162.3,9.0.22.300191.05.0.4.1.15703739753.5343884816933.3
1387,9.9.09.991846.65.9.4.6.933369451332621.3339169480414.6,6.2.34.972610.26.0.1.9.66275570798945.8739084464533.6,6.1.71.572840.76.4.4.1.96737145119.8854425571447.0,2.3.779.001474.7.591.6.8946039361.8760313372.375763,7.5.85.590852.98.7.0.8.64585117512.1376334718021.2,9.2.753.254510.4.914.0.3635555017.1789997155.13610,5.9.95.948654.00.3.6.5.41876337670.3413931817556.3,3.3.07.966191.91.8.1.9.61755708178.7750092091085.1,1.7.005.085373.0.440.7.6056710959.0508905610.78330,6.7.77.426824.78.9.4.1.54993382559.3843007707271.6,5.3.65.845056.28.5.1.1.90697381865.1717854102050.5,4.9.23.473439.23.3.2.5.40304398107.5581667214866.6,4.6.84.308928.28.5.4.6.88101792189.6977451731358.0,2.1.953.733066.0.900.3.1590455272.0115972491.099093,6.7.064.901511.5.782.6.5925086002.8110782657.548758
1388,3.4.86.137881.88.0.9.4.529970753736230.9310668875610.4,4.7.41.942432.11.2.5.8.89088797027.7410802814321.9,7.3.54.728636.87.9.0.6.16315478901708.0608090820193.9,7.7.672.164386.9.582.0.4261353708.6454509110.289968,6.9.06.869291.53.6.1.1.66316193952.9933585438362.1,9.9.33.502451.92.4.7.5.245842324717255.8995284372428.9,3.8.16.509384.53.9.7.7.44049032401.6905622424346.6,1.6.86.198246.78.3.0.4.30842394358.8607128485545.5,2.3.50.179420.94.5.3.0.28304896098.3990474757987.8,7.1.48.071541.25.3.2.2.068320831205011.1499696526145.3,7.2.009.263636.5.387.7.1523188246.4773274910.212621,4.3.02.203473.40.3.1.1.69072056974.6011086597204.8,4.4.04.777948.39.0.2.8.74125519712.0787574481690.7,5.3.07.090697.20.6.9.2.34102498170.3049153688419.3,7.8.70.446139.99.7.6.5.554388858941031.6331377006426.1
1389,1.7.31.427840.39.4.7.8.73459699418.6444991122998.7,6.2.69.036302.33.4.1.8.92357697554.5476756310634.9,0.9.083.328495.5.282.0.0900966015.4074618460.857795,7.8.69.198429.99.0.4.6.40458588010.6966812088273.2,5.2.57.658863.59.2.2.3.139244620582809.6269080191381.5,4.2.761.819276.1.596.8.3639461253.8730883829.627491,4.1.64.901587.50.2.6.0.863339443036895.1000563801203.7,8.9.68.925635.81.4.3.2.40853173365.9504932455359.0,7.1.12.571149.30.5.0.2.435488183675972.9875626364219.3,8.4.357.370154.5.721.8.2190307290.0294204426.922488,4.9.86.897936.17.5.0.0.04477806971.0985764746004.9,0.7.34.422966.55.9.1.3.32506434735.6611134735104.5,5.1.121.713457.4.657.6.6730639026.8803340427.720909,5.9.71.987132.85.6.9.9.70091459018.7120283184593.0,1.6.71.678207.54.0.0.6.158417430957680.7713356103087.5
1390,2.7.428.487176.2.387.7.9636859839.5759374953.40778,2.6.138.735518.8.602.8.6222109880.0370842508.432624,3.9.258.540324.4.908.4.1586511660.9495426590.566748,5.3.49.567681.29.7.0.3.93729256594.1250862821890.8,1.8.93.220408.76.1.4.5.62287048750.9154552503416.5,4.5.49.979661.44.0.8.2.355493221686533.7183498140489.8,6.1.473.403494.1.908.9.9970113411.5584289635.708937,4.8.29.068608.77.4.6.2.083299078058630.0322917158440.8,2.4.41.317345.62.3.1.7.62004154938.6509690573274.6,4.0.295.241243.4.399.4.6110756878.0118714822.356844,0.3.410.564089.7.681.3.5828777667.6562045280.909660,0.1.45.801837.27.4.0.8.91700733270.1633229613196.5,0.1.114.140123.5.334.2.8344578223.0343200531.982169,8.9.98.198654.43.0.2.8.69205468774.0414641431013.7,6.9.12.528546.68.5.2.4.152448212913022.8637564227234.6
1391,4.8.75.254090.68.3.0.4.05839358685.1239444037381.8,7.7.03.587447.76.6.3.1.672502422105958.8169630149557.3,4.8.001.437363.8.376.4.9527345310.5538891649.32024,5.7.47.205055.98.9.6.7.57782451356.2185466646909.7,6.8.72.111944.46.7.8.3.71830655806.5838947573969.7,7.3.68.010106.30.6.0.4.32006261361.3855148324936.6,6.0.64.016763.05.3.4.4.125500433592357.7214563831828.5,3.7.57.097604.10.2.7.7.031104018193475.0466157703950.7,0.4.89.300050.78.9.2.4.595201793159968.1826382529435.6,6.3.914.734161.2.372.5.0375848832.1760618150.372181,9.9.89.261839.37.6.8.8.25229167336.5169550431669.4,5.1.84.074220.31.7.3.4.42169293833.4581162533097.8,0.1.65.487447.76.9.9.6.04710705073.2760323184521.1,1.9.898.574194.1.062.1.2065918346.9969656988.591334,4.6.813.865045.8.907.1.5479768416.7583235503.25941
1392,8.1.92.130720.03.3.6.0.47317947902.1858870518202.9,5.1.38.999504.57.844663726539.1256.7680084827772,9.4.57.554599.45.3.4.8.89978232023.7776987078741.0,5.1.254.301140.7.158.1.7455947509.6764336624.215787,5.1.366.412760.1.148.0.9205282681.3981689437.406929,0.8.697.991175.8.342.3.7008172665.9734092368.462198,9.7.62.081905.66.5.1.7.648806191133179.4100049965013.1,1.7.144.978520.2.117.4.2850595758.9753338072.065663,4.4.062.939919.4.596.4.0706166910.1119228514.592852,4.2.52.390585.44.7.2.2.94591774079.2769173817548.8,0.7.99.383587.06.4.1.9.205839863168810.9280103258241.7,8.7.794.491545.3.603.3.9719184187.8708271171.792115,1.6.053.020236.2.517.6.3285906204.0023959327.559875,8.0.56.644865.68.8.3.2.75629393436.9670182163322.4,6.1.06.932070.22.7.1.8.92017910491.9574932606756.3
1393,2.9.66.208911.25.9.3.3.61682532754.3506704101550.2,0.2.00.619663.49.2.4.9.925297090972407.2382179990890.1,4.2.41.766613.86.9.1.9.386815043731040.9549367814283.9,5.5.23.389794.85.4.9.3.502910780234703.6754250946112.7,1.5.339.231488.8.214.7.7792695885.3373709116.291975,6.4.86.718786.18.2.9.5.00384161743.2055084543861.5,7.3.96.344759.55.0.9.4.619835199734562.3189168541543.0,9.2.263.039742.9.914.1.5388361197.6238458039.978750,1.2.169.749077.5.233.7.7548664763.1541447013.013377,3.2.995.234464.9.677.7.3173193175.4118632814.041481,2.9.11.703409.12.7.2.3.43113249201.3185331137900.4,8.1.214.941298.7.475.8.0772860205.6327545421.429506,8.4.84.890529.12.6.7.0.909809502087393.6299615446989.3,3.2.05.448156.16.253373439026.2543.2657781962055,9.5.10.825098.99.9.9.8.78041119471.9718453080432.9
1394,3.3.76.563728.74.4.3.9.09337259006.5909906197083.6,5.9.20.944353.65.4.1.2.481581625634559.7175697001761.0,8.0.17.255665.82.3.2.8.45246496089.8510826183085.0,1.4.15.358909.19.0.5.1.523754433871653.6720746350616.0,1.3.66.966543.63.0.3.7.27001590958.9838406844626.4,1.5.41.025899.23.5.4.3.09065704443.9500433011872.7,8.6.90.520508.84.8.0.9.01154925032.1150315151772.5,5.5.004.927405.4.726.6.7271054632.9167201227.864529,3.0.98.110116.44.0.2.6.46037841761.5814075399030.6,3.4.840.470968.3.161.5.2645400847.6227828551.927567,6.9.24.676388.29.6.5.3.737318655993119.4807183047201.7,9.7.51.125763.22.6.8.9.59443143596.3171679484976.4,0.3.791.489722.1.490.5.4080513916.1307116835.639083,8.6.93.745849.93.6.2.6.63411142747.6197932478248.9,3.9.17.092124.89.1.3.0.505237870447984.7534218312329.7
1395,2.9.59.550713.68.0.0.6.192509768210662.6763466063572.3,5.8.821.159815.3.567.1.9642880036.3594022243.354777,4.0.956.991560.4.463.0.1208738144.4097664121.408922,2.6.38.844697.22.9.4.1.41681905917598.7053208693272.5,0.9.647.386945.5.913.4.7298023730.4002801275.723792,7.4.34.091163.14.7.4.2.23623891429.9516890031126.9,9.5.36.574223.11.4.5.2.910850042907329.9420718295338.3,5.2.013.904529.3.247.8.5037456841.7462463319.766296,8.1.15.107721.31.2.2.2.11416776006.7142987404552.5,7.3.52.804707.83.9.0.0.34808820498555.1137711247846.6,6.5.38.497913.57.4.2.9.15858818615.4189726615847.6,3.8.01.432029.82.2.3.8.267540017044536.1967829031681.6,0.4.45.766747.97.4.0.7.21509106613.8357712468558.4,1.2.01.549796.01.1.6.3.34837080892.4836731624367.4,0.8.314.436468.8.100.5.4839467414.8244445522.353131
1396,4.6.798.391027.9.284.1.3532338975.8491435312.658541,9.2.13.964311.72.3.1.6.898268364442216.4143791405702.1,0.6.935.203917.1.611.2.0450401389.6353754166.377068,9.5.77.024790.62.6.3.7.41277192037.3869008463390.9,3.3.403.551528.2.669.1.4392110695.7689025219.270363,2.2.03.734168.86.3.2.0.74950434645.9987812633663.1,1.3.02.594349.04.8.7.3.36922967036.7482952575825.2,0.1.386.774665.3.653.7.7480671039.0384743936.021830,8.3.76.192208.88.0.3.3.889251821805017.8943658333087.2,6.3.24.151539.49.0.0.9.81894737725.0131109983112.1,6.3.40.355559.32.5.7.8.72603313675.0672670384777.8,9.6.172.618278.7.195.1.2614753011.5841582036.183391,9.7.82.140962.54.5.4.5.258396208248505.8021025823689.6,0.0.94.442697.89.2.5.4.63527655573.2637575651644.7,7.7.10.150002.46.5.4.6.866844798653172.4227246983676.3
1397,9.4.60.650106.46.6.5.6.375863839481325.4756810139724.4,8.0.44.842145.26.1.6.0.55731716302.0174617448618.2,7.8.09.010615.96.7.2.8.400888648064327.8064210860623.4,1.2.45.185569.59.4.0.7.46699937576.5102952397586.4,1.3.042.287416.5.900.1.9298204164.1175223376.01043,7.0.252.132496.2.682.7.3608968489.0764733390.428206,5.3.33.207896.56.2.2.4.91827304342.8196668000262.4,7.2.34.371578.87.6.1.2.74874534412.6867724587632.6,3.3.77.214942.28.2.0.8.290214686103001.1075686709526.2,6.1.66.304875.29.5.8.5.00041738033.8151879607996.8,4.7.97.430226.06.9.1.8.269890264521841.7784971841247.2,0.5.991.642653.0.004.8.0239663337.6205326926.81335,4.5.50.366608.32.4.3.1.30082121970.3011272370990.4,5.7.71.862846.86.8.0.7.432319292212201.6719742276196.9,6.3.46.861403.09.6.4.2.35273515928676.2304419276174.0
1398,6.5.899.585463.6.740.2.3330709777.2968809941.006044,4.7.273.513256.6.402.8.7490979966.7618940373.948957,3.6.40.903144.66.7.3.1.846544797077638.9146663594702.1,4.6.120.911530.3.147.2.8240150082.4380509023.746661,8.7.26.962782.69.6.0.2.20046573605.1266659617068.7,4.5.24.934301.18.0.1.0.34507226238.7906145598471.5,8.8.54.982953.37.0.2.7.99460551594.9824558267313.1,7.6.59.134859.17.8.6.4.51761555654.9434136834152.6,7.5.329.093252.1.404.0.2542167028.0346568063.165232,8.9.78.836822.60.4.9.8.60428870999.4588599923639.8,4.8.27.900964.23.6.4.6.909376847839712.4407189086997.8,3.8.15.752883.51.5.8.7.39346143301.5344632899951.5,4.5.601.666744.2.353.2.7404636196.0192187259.802548,4.4.472.801872.1.279.5.9528595735.0660960589.467101,4.4.58.440940.52.2.3.2.16279244557.4308203392595.7
1399,8.3.41.378123.48.6.4.5.37312388736.9786824175628.1,8.7.31.807741.68.1.7.1.85249495472.5951390667573.2,0.2.25.709518.17.2.9.2.64024537337.2846600198236.8,1.4.68.507381.72.6.9.5.76603799599.7644268629455.3,0.2.66.499546.26.0.1.1.361114693697847.3490329062911.0,7.3.29.872097.62.2.9.7.68407807509.7974312357747.9,7.6.24.438937.83.3.1.3.90703287974.9680486689140.6,9.2.75.586370.35.4.3.3.61109470016.4758359872586.4,6.0.07.742817.10.2.9.7.95024898545.9987582044925.0,9.6.95.485343.73.4.6.1.419138809864308.3339940113956.0,9.1.48.651719.91.6.8.2.041976338854854.2653773996338.2,0.6.93.475882.38.1.5.5.12237309544.4052881711436.4,8.5.07.008378.19.2.4.3.66826718984.9838616934406.6,8.1.34.759622.36.9.6.6.93136913424.3163334266912.9,1.5.04.245014.66.7.3.3.40039572545.2672764734667.4
